Station No,Road Link,Location,AADT,AADT excluding MC & Rickshaws,AADT in PCUs,AADT in PCUs excluding MC & Rickshaws,Year,More info
130,H1403,Attariya North,1988,1049,2470,1942,2015/016,view detail
130,H1403,Attariya North,3710,2354,4221,3535,2016/017,view detail
130,H1403,Attariya North,17620,10277,16222,12546,2018/019,view detail
130,NH66-003,Attariya North,11966,6050,9259,6301,2020/021,view detail
130,NH66-003,Attariya North,14273,8137,12242,9174,2021/022,view detail
131,H1864,Sanfebagar South,514,433,771,731,2011/012,view detail
131,H1864,Sanfebagar South,691,596,1017,970,2012/013,view detail
131,H1864,Sanfebagar South,307,181,396,333,2014/015,view detail
131,H1864,Sanfebagar South,446,347,637,588,2015/016,view detail
131,H1864,Sanfebagar South,439,288,553,478,2016/017,view detail
131,H1864,Sanfebagar South,913,400,769,513,2018/019,view detail
131,NH03-079,Sanfebagar South,1433,518,1102,644,2020/021,view detail
131,NH03-079,Sanfebagar South,1597,562,1216,699,2021/022,view detail
132,F14601,Safebagar North,284,266,417,408,2011/012,view detail
132,F14601,Safebagar North,626,552,876,839,2012/013,view detail
132,F14601,Safebagar North,146,107,235,215,2014/015,view detail
132,F14601,Safebagar North,280,241,420,400,2015/016,view detail
132,F14601,Safebagar North,235,198,335,316,2016/017,view detail
132,F14601,Safebagar North,437,373,635,603,2018/019,view detail
132,NH03-080,Safebagar North,1278,507,1090,704,2020/021,view detail
132,NH03-080,Safebagar North,456,254,445,344,2021/022,view detail
133,F05101,Silagadhi Junction,419,331,613,569,2011/012,view detail
133,F05101,Silagadhi Junction,1636,980,1900,1572,2012/013,view detail
133,F05101,Silagadhi Junction,612,275,620,452,2014/015,view detail
133,F05101,Silagadhi Junction,100,83,209,201,2015/016,view detail
133,F05101,Silagadhi Junction,533,316,633,525,2016/017,view detail
133,F05101,Silagadhi Junction,561,278,624,483,2018/019,view detail
133,NH03-082,Silagadhi Junction,2325,965,1975,1295,2020/021,view detail
133,NH03-082,Silagadhi Junction,1055,525,1191,926,2021/022,view detail
134,H1406,Syaule South,606,505,970,920,2011/012,view detail
134,H1406,Syaule South,911,674,1482,1364,2012/013,view detail
134,H1406,Syaule South,894,649,1401,1279,2014/015,view detail
134,H1406,Syaule South,807,597,1284,1179,2015/016,view detail
134,H1406,Syaule South,836,656,1264,1174,2016/017,view detail
134,H1406,Syaule South,1502,950,2005,1728,2018/019,view detail
134,NH66-006,Syaule South,1249,767,1694,1453,2020/021,view detail
134,NH66-006,Syaule South,1346,930,2044,1836,2021/022,view detail
135,H1501,Syaule East,454,429,788,776,2011/012,view detail
135,H1501,Syaule East,780,542,1111,992,2012/013,view detail
135,H1501,Syaule East,523,403,750,690,2014/015,view detail
135,H1501,Syaule East,592,439,850,773,2015/016,view detail
135,H1501,Syaule East,794,552,1082,961,2016/017,view detail
135,H1501,Syaule East,1064,784,1287,1147,2018/019,view detail
135,NH03-085,Syaule East,908,567,1106,935,2020/021,view detail
135,NH03-085,Syaule East,909,521,1110,915,2021/022,view detail
136,H1407,Syaule North,505,383,742,681,2011/012,view detail
136,H1407,Syaule North,883,620,1224,1093,2012/013,view detail
136,H1407,Syaule North,870,600,1168,1033,2014/015,view detail
136,H1407,Syaule North,736,509,1012,899,2015/016,view detail
136,H1407,Syaule North,810,522,940,796,2016/017,view detail
136,H1407,Syaule North,2565,1601,3178,2696,2018/019,view detail
136,NH03-086,Syaule North,1664,857,1818,1415,2020/021,view detail
136,NH03-086,Syaule North,1885,1053,2112,1696,2021/022,view detail
137,F05001,Satbanjh West,175,153,240,228,2011/012,view detail
137,F05001,Satbanjh West,451,315,553,485,2012/013,view detail
137,F05001,Satbanjh West,346,276,557,522,2014/015,view detail
137,F05001,Satbanjh West,312,239,439,403,2015/016,view detail
137,F05001,Satbanjh West,251,202,370,345,2016/017,view detail
137,F05001,Satbanjh West,488,325,603,521,2018/019,view detail
137,NH03-090,Satbanjh West,441,240,413,312,2020/021,view detail
137,NH03-090,Satbanjh West,471,281,460,365,2021/022,view detail
138,H1411,Satbanjh North,122,112,221,216,2011/012,view detail
138,H1411,Satbanjh North,398,269,471,407,2012/013,view detail
138,H1411,Satbanjh North,217,181,367,349,2014/015,view detail
138,H1411,Satbanjh North,260,208,377,351,2015/016,view detail
138,H1411,Satbanjh North,224,171,320,293,2016/017,view detail
138,H1411,Satbanjh North,315,236,449,409,2018/019,view detail
138,NH66-007,Satbanjh North,425,262,459,377,2020/021,view detail
138,NH66-007,Satbanjh North,435,290,572,499,2021/022,view detail
139,F04901,Khodpe East,236,206,468,452,2011/012,view detail
139,F04901,Khodpe East,507,340,725,642,2012/013,view detail
139,F04901,Khodpe East,168,141,299,285,2014/015,view detail
139,F04901,Khodpe East,244,177,347,314,2015/016,view detail
139,F04901,Khodpe East,568,448,873,813,2016/017,view detail
139,F04901,Khodpe East,409,248,469,388,2018/019,view detail
139,NH64-001,Khodpe East,344,204,427,357,2020/021,view detail
139,NH64-001,Khodpe East,383,247,522,454,2021/022,view detail
140,H1409,Khodpe North,272,237,404,386,2011/012,view detail
140,H1409,Khodpe North,555,365,692,597,2012/013,view detail
140,H1409,Khodpe North,340,283,585,557,2014/015,view detail
140,H1409,Khodpe North,395,302,562,516,2015/016,view detail
140,H1409,Khodpe North,604,452,903,827,2016/017,view detail
140,H1409,Khodpe North,409,305,520,468,2018/019,view detail
140,NH03-088,Khodpe North,485,281,568,467,2020/021,view detail
140,NH03-088,Khodpe North,718,454,1028,896,2021/022,view detail
141,H0704,Charali South,2563,1158,2355,1550,2011/012,view detail
141,H0704,Charali South,3651,1113,3007,1589,2012/013,view detail
141,H0704,Charali South,3381,1298,2936,1868,2014/015,view detail
141,H0704,Charali South,1406,627,1382,986,2015/016,view detail
141,H0704,Charali South,2011,913,2140,1580,2016/017,view detail
141,H0704,Charali South,2033,1045,2181,1684,2018/019,view detail
141,NH02-003,Charali South,6918,3043,6225,4282,2020/021,view detail
141,NH02-003,Charali South,7164,2088,5042,2491,2020/021,view detail
141,NH02-003,Charali South,5662,2862,5410,4010,2021/022,view detail
142,F06801,Parawanipur West,693,296,589,384,2011/012,view detail
142,F06801,Parawanipur West,1354,1146,1758,1655,2012/013,view detail
142,F06801,Parawanipur West,2468,1385,2498,1956,2014/015,view detail
142,F06801,Parawanipur West,1624,1001,2313,2000,2015/016,view detail
142,F06801,Parawanipur West,2694,1513,4478,3877,2016/017,view detail
142,F06801,Parawanipur West,2229,730,2317,1567,2018/019,view detail
142,NH41-001,Parawanipur West,3883,1925,7073,6094,2020/021,view detail
142,NH41-001,Parawanipur West,3889,2062,7595,6682,2021/022,view detail
143,F06201,Harichamod South,3935,1023,3205,1534,2011/012,view detail
143,F06201,Harichamod South,3107,721,2346,1061,2012/013,view detail
143,F06201,Harichamod South,2967,705,2289,1089,2014/015,view detail
143,F06201,Harichamod South,2329,878,2336,1543,2015/016,view detail
143,F06201,Harichamod South,2928,876,2136,1088,2016/017,view detail
143,F06201,Harichamod South,7442,3237,6354,4212,2018/019,view detail
143,F06201,Harichamod South,6947,2541,5324,3119,2021/022,view detail
144,F14001,Salyan North (Shital pati West),275,92,246,155,2011/012,view detail
144,F14001,Salyan North (Shital pati West),404,183,414,304,2012/013,view detail
144,F14001,Salyan North (Shital pati West),1125,646,1325,1083,2014/015,view detail
144,F14001,Salyan North (Shital pati West),688,359,789,624,2015/016,view detail
144,F14001,Salyan North (Shital pati West),177,86,169,124,2016/017,view detail
144,F14001,Salyan North (Shital pati West),690,262,573,358,2018/019,view detail
144,NH27-001,Salyan North (Shital pati West),1239,457,893,502,2020/021,view detail
144,NH27-001,Salyan North (Shital pati West),1408,454,1005,528,2021/022,view detail
145,F05401,Duhabi West,6537,2100,5663,3188,2011/012,view detail
145,F05401,Duhabi West,2628,822,2024,1008,2012/013,view detail
145,F05401,Duhabi West,4038,2016,4355,2968,2014/015,view detail
145,F05401,Duhabi West,3603,1455,3502,2212,2015/016,view detail
145,F05401,Duhabi West,5481,2374,4548,2912,2016/017,view detail
145,F05401,Duhabi West,12931,5553,10800,6926,2018/019,view detail
145,F05401,Duhabi West,13758,4361,10637,5939,2020/021,view detail
145,F05401,Duhabi West,10146,3315,7590,4171,2021/022,view detail
146,F01101,Taulihawa North,964,213,751,333,2011/012,view detail
146,F01101,Taulihawa North,1156,364,1004,575,2012/013,view detail
146,F01101,Taulihawa North,226,178,365,341,2014/015,view detail
146,F01101,Taulihawa North,640,220,600,370,2015/016,view detail
146,F01101,Taulihawa North,2155,472,1605,735,2016/017,view detail
146,F01101,Taulihawa North,2042,838,1583,981,2018/019,view detail
146,NH51-001,Taulihawa North,2742,824,2344,1385,2020/021,view detail
146,NH51-001,Taulihawa North,3090,1130,2977,1995,2021/022,view detail
147,F13003,Bhairahawa East,2148,910,2205,1521,2011/012,view detail
147,F13003,Bhairahawa East,1822,754,1732,1158,2012/013,view detail
147,F13003,Bhairahawa East,7544,3272,9232,7094,2014/015,view detail
147,F13003,Bhairahawa East,5401,2400,6460,4951,2015/016,view detail
147,F13003,Bhairahawa East,5610,3482,8949,7884,2016/017,view detail
147,F13003,Bhairahawa East,12337,4709,12631,8815,2018/019,view detail
147,NH05-026A,Bhairahawa East,12022,4120,12135,8180,2020/021,view detail
147,NH05-026A,Bhairahawa East,14129,5058,14191,9654,2021/022,view detail
148,F06001,Urlabari South,440,360,624,584,2011/012,view detail
148,F06001,Urlabari South,445,302,572,500,2012/013,view detail
148,F06001,Urlabari South,774,388,765,572,2014/015,view detail
148,F06001,Urlabari South,1790,468,1473,702,2015/016,view detail
148,F06001,Urlabari South,8753,1882,7474,2812,2016/017,view detail
148,F06001,Urlabari South,419,255,537,455,2018/019,view detail
148,F06001,Urlabari South,10020,4321,6931,4082,2020/021,view detail
148,F06001,Urlabari South,9093,3956,6336,3767,2021/022,view detail
149,F05301,Basantapur North,4752,926,3556,1317,2011/012,view detail
149,F05301,Basantapur North,2916,605,2178,891,2012/013,view detail
149,F05301,Basantapur North,4872,1002,3532,1430,2014/015,view detail
149,F05301,Basantapur North,1710,544,1460,876,2015/016,view detail
149,F05301,Basantapur North,134,107,253,239,2016/017,view detail
149,F05301,Basantapur North,30586,17544,29378,22787,2018/019,view detail
149,NH10-001,Basantapur North,407,188,430,321,2020/021,view detail
149,NH10-001,Basantapur North,716,312,622,420,2021/022,view detail
150,F02108,Bidur North,2386,606,1906,1020,2011/012,view detail
150,F02108,Bidur North,2625,808,2188,1290,2012/013,view detail
150,F02108,Bidur North,5031,1037,3911,1913,2014/015,view detail
150,F02108,Bidur North,4688,899,3554,1659,2015/016,view detail
150,F02108,Bidur North,4817,1669,4377,2803,2016/017,view detail
150,F02108,Bidur North,3075,856,2635,1525,2018/019,view detail
150,NH42-008,Bidur North,7724,1823,6037,3086,2020/021,view detail
150,NH42-008,Bidur North,7900,1880,6146,3136,2021/022,view detail
151,F04206,Baglung North,234,169,227,194,2011/012,view detail
151,F04206,Baglung North,669,249,507,298,2012/013,view detail
151,F04206,Baglung North,1434,511,1208,746,2014/015,view detail
151,F04206,Baglung North,926,351,763,476,2015/016,view detail
151,F04206,Baglung North,483,235,460,336,2016/017,view detail
151,F04206,Baglung North,2504,1383,2589,2028,2018/019,view detail
151,F04206,Baglung North,1510,499,1155,649,2020/021,view detail
151,F04206,Baglung North,1780,608,1280,693,2021/022,view detail
152,H1106,Shital pati North,181,91,223,178,2011/012,view detail
152,H1106,Shital pati North,364,210,416,339,2012/013,view detail
152,H1106,Shital pati North,1047,285,881,500,2014/015,view detail
152,H1106,Shital pati North,364,219,483,411,2015/016,view detail
152,H1106,Shital pati North,311,156,412,334,2016/017,view detail
152,H1106,Shital pati North,1308,479,1227,812,2018/019,view detail
152,NH55-006,Shital pati North,1043,402,1042,721,2020/021,view detail
152,NH55-006,Shital pati North,1341,416,1141,678,2021/022,view detail
153,H1304,Khulalu South,205,148,295,266,2011/012,view detail
153,H1304,Khulalu South,216,161,311,283,2012/013,view detail
153,H1304,Khulalu South,236,189,327,303,2014/015,view detail
153,H1304,Khulalu South,216,168,312,287,2015/016,view detail
153,H1304,Khulalu South,81,74,155,151,2016/017,view detail
153,H1304,Khulalu South,135,96,186,166,2018/019,view detail
153,NH58-015,Khulalu South,708,301,797,594,2020/021,view detail
153,NH58-015,Khulalu South,522,271,698,572,2021/022,view detail
154,H1607,Narayan Gopal Chowk West,36550,16687,33704,23773,2011/012,view detail
154,H1607,Narayan Gopal Chowk West,38268,17420,34854,24428,2012/013,view detail
154,H1607,Narayan Gopal Chowk West,42286,18515,38949,27063,2014/015,view detail
154,H1607,Narayan Gopal Chowk West,41751,16774,36259,23771,2015/016,view detail
154,H1607,Narayan Gopal Chowk West,50084,21363,44422,30062,2016/017,view detail
154,H1607,Narayan Gopal Chowk West,88792,28908,72089,42147,2018/019,view detail
154,NH39-007,Narayan Gopal Chowk West,65647,22258,54040,32338,2020/021,view detail
154,NH39-007,Narayan Gopal Chowk West,65305,21392,51922,29964,2021/022,view detail
155,F02501,Narayan Gopal Chowk South,26857,13259,22297,15495,2011/012,view detail
155,F02501,Narayan Gopal Chowk South,29533,12202,22859,14188,2012/013,view detail
155,F02501,Narayan Gopal Chowk South,28777,13977,24270,16871,2014/015,view detail
155,F02501,Narayan Gopal Chowk South,43211,14880,31939,17774,2015/016,view detail
155,F02501,Narayan Gopal Chowk South,43219,16658,32605,19325,2016/017,view detail
155,F02501,Narayan Gopal Chowk South,57045,21645,44270,26570,2018/019,view detail
155,F02501,Narayan Gopal Chowk South,41438,13054,30052,15852,2020/021,view detail
155,F02501,Narayan Gopal Chowk South,47924,14541,34338,17638,2021/022,view detail
156,F07501,Sitapaila South,3653,1270,2875,1684,2011/012,view detail
156,F07501,Sitapaila South,4477,1323,3336,1759,2012/013,view detail
156,F07501,Sitapaila South,33638,16513,34510,25944,2014/015,view detail
156,F07501,Sitapaila South,42705,20036,42736,30889,2015/016,view detail
156,F07501,Sitapaila South,7192,1966,5039,2426,2016/017,view detail
156,F07501,Sitapaila South,45938,21059,47157,34718,2018/019,view detail
156,NH21-001,Sitapaila South,11097,2989,7785,3732,2020/021,view detail
156,NH21-001,Sitapaila South,11478,3140,8299,4130,2021/022,view detail
157,H1610,Kalanki,30176,15271,31293,23840,2011/012,view detail
157,H1610,Kalanki,29411,13186,27729,19616,2012/013,view detail
157,H1610,Kalanki,25050,11940,25603,19048,2014/015,view detail
157,H1610,Kalanki,27734,14223,29861,22809,2015/016,view detail
157,H1610,Kalanki,22446,10809,25165,19346,2016/017,view detail
157,H1610,Kalanki,31116,15075,35485,27464,2018/019,view detail
157,NH39-011,Kalanki,59744,24487,54720,37090,2020/021,view detail
157,NH39-011,Kalanki,48668,21831,46009,32591,2021/022,view detail
158,F07201,Gwarko East,17981,4517,12620,5863,2011/012,view detail
158,F07201,Gwarko East,22574,5167,15365,6645,2012/013,view detail
158,F07201,Gwarko East,23484,5157,15782,6616,2014/015,view detail
158,F07201,Gwarko East,34374,7264,23393,9761,2015/016,view detail
158,F07201,Gwarko East,35525,7339,23747,9654,2016/017,view detail
158,F07201,Gwarko East,55865,12424,38289,15896,2018/019,view detail
158,NH15-001,Gwarko East,53608,12963,36497,16150,2020/021,view detail
158,NH15-001,Gwarko East,66175,13596,42514,16217,2021/022,view detail
159,F09401,Byasi Chowk North,10842,2964,8623,4684,2011/012,view detail
159,F09401,Byasi Chowk North,9991,2859,8007,4441,2012/013,view detail
159,F09401,Byasi Chowk North,2470,764,2021,1168,2014/015,view detail
159,F09401,Byasi Chowk North,5178,1612,4526,2744,2015/016,view detail
159,F09401,Byasi Chowk North,4901,1006,3443,1495,2016/017,view detail
159,F09401,Byasi Chowk North,5349,1184,3784,1701,2018/019,view detail
159,F09401,Byasi Chowk North,8892,1763,6117,2551,2020/021,view detail
159,F09401,Byasi Chowk North,8949,1975,6380,2894,2021/022,view detail
160,H1613,Satdobato North,30978,14899,30077,22038,2011/012,view detail
160,H1613,Satdobato North,31068,13930,28368,19798,2012/013,view detail
160,H1613,Satdobato North,29613,12746,27663,19227,2014/015,view detail
160,H1613,Satdobato North,45121,18124,42192,28693,2015/016,view detail
160,H1613,Satdobato North,28708,12864,27691,19768,2016/017,view detail
160,H1613,Satdobato North,60174,25665,56555,39300,2018/019,view detail
160,NH39-014,Satdobato North,64749,25318,55180,35463,2020/021,view detail
160,NH39-014,Satdobato North,78318,28301,64965,39956,2021/022,view detail
